red,green,blue,hue,saturation,value,kematangan,berat
97.019347,33.208872,7.528045,107.704750,244.476963,88.828961,2,36
114.483967,34.104075,10.869052,109.283199,240.609698,105.399658,2,37
119.650978,52.508266,12.160640,105.292413,240.319050,108.353005,2,33
124.417912,65.368951,14.487874,102.884824,238.828589,112.442199,2,37
123.632698,46.111327,13.587819,107.483259,237.756341,112.380588,2,33
122.077120,44.026654,11.441038,107.324149,239.715563,110.241042,2,37
119.504164,34.482499,10.081045,109.279221,242.739991,109.055473,2,37
97.606924,26.551006,8.558785,109.905920,243.517405,89.104270,2,35
105.287004,38.144771,9.391881,106.795647,242.702456,95.855561,2,34
89.031638,23.916569,8.112167,109.772332,242.510365,81.277115,2,37
119.015324,39.933215,14.534359,108.660453,237.086685,108.775952,2,35
114.433706,35.376126,12.604252,109.257454,237.166975,104.269961,2,33
128.572279,50.685720,13.219922,106.370240,238.440088,115.641708,2,37
110.894946,44.484168,11.241698,106.338653,241.395856,100.494501,2,33
131.232140,43.244569,13.372051,108.072224,239.258596,117.746017,2,33
110.173194,29.900116,13.600676,111.023636,235.888968,102.047440,5,56
119.134821,30.316031,13.464180,111.502823,237.832340,110.957919,5,57
149.417484,45.691255,21.086923,110.626205,229.991330,138.243397,5,55
112.186074,29.787640,16.231562,111.156357,234.521853,102.894862,5,55
154.482974,47.709306,22.195924,110.433161,229.020464,142.362825,5,57
110.188443,26.784740,12.326024,111.559132,239.354082,101.793041,5,55
113.683194,31.865836,14.196265,110.835026,237.324903,105.725634,5,56
106.317331,27.088713,11.175067,111.132393,239.634679,97.999213,5,55
109.723350,29.922049,14.062961,111.115016,236.002402,101.571715,5,53
104.347585,23.934105,10.398666,111.379988,241.512830,95.682663,5,56
108.173989,27.058709,14.216459,111.582189,235.781223,100.351628,5,55
101.131404,24.302924,10.543157,111.367222,239.587807,93.359397,5,54
115.383429,31.810419,12.657570,110.793456,237.842566,107.371285,5,53
100.747251,22.828549,10.745471,111.849160,240.487521,92.890635,5,53
147.093942,46.708349,19.302145,110.021836,231.452531,136.675022,5,57
106.258899,86.084004,9.191831,96.038732,243.023945,97.033660,1,31
131.179540,75.124433,10.477218,102.052378,243.624088,118.570970,1,28
125.175717,78.422126,10.473225,100.559547,243.026803,114.011969,1,28
154.193099,97.587075,15.142209,100.913803,239.425508,140.915499,1,27
109.346973,93.807780,10.240501,94.884150,243.144342,99.327733,1,30
114.444039,94.440158,10.117651,95.982051,242.733803,104.151917,1,30
130.444967,87.490379,12.180414,99.598418,240.781600,117.867827,1,27
103.172065,79.837507,9.054572,97.141127,243.296679,94.240459,1,29
111.048878,87.350408,8.736522,96.443965,244.218917,101.360194,1,28
110.228760,91.307547,9.088496,95.930692,243.501541,99.753598,1,28
112.080529,81.214317,8.943876,98.676572,243.939819,102.321863,1,32
123.992448,80.783091,10.086067,99.713201,243.849194,112.335476,1,32
117.142665,75.795004,8.228700,100.118804,244.902236,106.434934,1,30
157.552231,108.248294,16.758527,99.202768,238.091547,142.974056,1,30
129.276623,77.720663,9.721441,101.080041,244.240676,116.504018,1,30
140.574201,65.694484,16.530124,105.034367,235.393133,130.376045,3,54
124.767163,46.477606,13.141546,108.217068,237.703205,115.878313,3,58
164.436279,59.368835,21.756954,108.700472,231.045352,151.661615,3,56
144.610142,60.064666,15.190027,106.220449,237.964823,132.158151,3,57
186.005393,99.982000,24.789916,103.289719,230.866509,171.099373,3,54
124.233753,49.662603,11.309608,107.060869,240.749389,115.385613,3,58
124.768731,40.366190,14.417897,109.586758,237.031954,115.646931,3,57
131.841211,67.802678,14.796074,104.009140,236.993594,121.642257,3,55
